,cell1_cu_watts,cell1_du_watts,cell1_ru_watts,cell1_cu_joules,cell1_du_joules,cell1_ru_joules,cell1_total_watts,cell1_total_joules,cell2_cu_watts,cell2_du_watts,cell2_ru_watts,cell2_cu_joules,cell2_du_joules,cell2_ru_joules,cell2_total_watts,cell2_total_joules
2025-09-29 15:18:50,0.04875667343404107,11.945384991336736,51.2,27583.850041,140873.057682,12025.0,63.19414166477078,180481.907723,0.04875667343404107,13.164301827206609,50.7,27583.850041,151131.730157,11950.0,63.91305850064065,190665.580198
2025-09-29 15:18:55,0.05051857231610825,12.07393878355791,51.3,27584.926909,140939.306522,12281.5,63.42445735587401,180805.733431,0.05051857231610825,11.568753060385344,50.9,27584.926909,151195.040083,12204.5,62.51927163270145,190984.466992
2025-09-29 15:19:00,0.06897926707802976,12.416268074051628,51.2,27585.241369,141000.835968,12537.5,63.68524734112966,181123.577337,0.06897926707802976,13.726874148551445,50.9,27585.241369,151259.91438600002,12459.0,64.69585341562947,191304.155755
2025-09-29 15:19:05,0.0,12.570135010954886,51.0,27585.5818,141067.470531,12792.5,63.570135010954886,181445.55233099998,0.0,12.205783271531413,50.7,27585.5818,151328.183203,12712.5,62.90578327153142,191626.26500299998
2025-09-29 15:19:10,0.0970603974567986,11.841368489733846,51.2,27585.912163999998,141127.88657,13048.5,63.13842888719065,181762.298734,0.0970603974567986,12.229610079552211,50.7,27585.912163999998,151388.943966,12966.0,63.02667047700901,191940.85613
2025-09-29 15:19:15,0.0496850115469639,12.222512840559899,51.3,27586.243344000002,141195.714944,13305.0,63.57219785210686,182086.95828800002,0.0496850115469639,12.570307921387517,50.9,27586.243344000002,151457.135188,13220.5,63.51999293293448,192263.878532
2025-09-29 15:19:20,0.13194887035440914,13.326835905810325,51.2,27586.644589,141262.680514,13561.0,64.65878477616474,182410.325103,0.13194887035440914,15.042171220408642,50.9,27586.644589,151526.865719,13475.0,66.07412009076305,192588.510308
2025-09-29 15:19:25,0.14818639362658076,12.22537747418786,51.2,27586.969602,141326.256756,13817.0,63.57356386781444,182730.22635799999,0.14818639362658076,12.52175026144776,50.7,27586.969602,151591.805082,13728.5,63.36993665507434,192907.274684
2025-09-29 15:19:30,0.049823442656609644,12.256566893532767,51.2,27587.258912999998,141387.182211,14073.0,63.506390336189384,183047.441124,0.049823442656609644,11.957626237586314,50.9,27587.258912999998,151653.97345800002,13983.0,62.90744968024292,193224.23237100002
2025-09-29 15:19:35,0.05223912809894857,13.216499409039926,51.2,27587.587944000003,141455.168763,14329.0,64.46873853713888,183371.756707,0.05223912809894857,13.268738537149565,50.9,27587.587944000003,151722.581912,14237.5,64.22097766524851,193547.669856
2025-09-29 15:19:40,0.04746987427930854,11.535179449883847,51.2,27587.907942,141521.100565,14585.0,62.78264932416316,183694.008507,0.04746987427930854,11.962408318398703,50.7,27587.907942,151788.58567,14491.0,62.70987819267801,193867.493612
2025-09-29 15:19:45,0.0,12.036304793490933,51.2,27588.222862000002,141581.804013,14841.0,63.23630479349094,184011.02687499998,0.0,11.648036896918356,50.9,27588.222862000002,151850.985094,14745.5,62.548036896918354,194184.707956
2025-09-29 15:19:50,0.0,12.565854631888552,51.3,27588.536926,141645.62268,15097.5,63.86585463188855,184331.659606,0.0,13.194147363447062,50.9,27588.536926,151915.662376,15000.0,64.09414736344706,194504.199302
2025-09-29 15:19:55,0.06367208723545517,10.601402524718488,51.2,27588.881859,141701.375863,15353.5,61.86507461195394,184643.757722,0.06367208723545517,10.219370001297072,50.8,27588.881859,151968.44887,15254.0,61.08304208853252,194811.33072899998
2025-09-29 15:20:00,0.04270659761680913,10.762062599432015,51.2,27589.195064,141765.613426,15609.5,62.00476919704883,184964.30849,0.04270659761680913,10.420409818505311,50.9,27589.195064,152034.263814,15508.5,61.36311641612212,195131.958878
2025-09-29 15:20:05,0.05329696497619234,13.00445945421517,51.3,27589.526554999997,141834.20706999997,15866.0,64.35775641919136,185289.73362499996,0.05329696497619234,12.205004979563801,50.7,27589.526554999997,152101.358827,15762.0,62.95830194454,195452.88538199998
2025-09-29 15:20:10,0.06795478074820077,13.11527268441665,51.2,27589.853931999998,141898.150574,16122.0,64.38322746516485,185610.004506,0.06795478074820077,12.435724876919194,51.0,27589.853931999998,152165.29009,16017.0,63.50367965766739,195772.144022
2025-09-29 15:20:15,0.07726037887116011,10.89371342084236,51.2,27590.159776,141959.601756,16378.0,62.17097379971352,185927.76153199997,0.07726037887116011,11.280015315192891,51.0,27590.159776,152227.131702,16272.0,62.35727569406405,196089.291478
2025-09-29 15:20:20,0.05004370223910202,12.310750750755945,51.1,27590.41869,142018.002981,16633.5,63.460794452995046,186241.921671,0.05004370223910202,12.560969261946617,50.7,27590.41869,152284.771307,16525.5,63.31101296418572,196400.68999699998
2025-09-29 15:20:25,0.04660063435741245,11.55695732058107,51.2,27590.723806,142081.036577,16889.5,62.80355795493848,186561.260383,0.04660063435741245,11.976363029796456,50.9,27590.723806,152349.675609,16780.0,62.92296366415387,196720.399415
2025-09-29 15:20:30,0.09583162730236398,10.73314225783426,51.2,27591.073542000002,142142.29112,17145.5,62.02897388513662,186878.864662,0.09583162730236398,11.308132021659883,51.0,27591.073542000002,152412.559559,17035.0,62.40396364896225,197038.63310099998
2025-09-29 15:20:35,0.06514877474219923,11.857077003089145,51.1,27591.345584,142206.91839,17401.0,63.022225777831345,187199.263974,0.06514877474219923,12.11767210206387,50.8,27591.345584,152479.38625,17289.0,62.982820876806066,197359.731834
2025-09-29 15:20:40,0.08861615300430975,11.342867584487173,51.1,27591.709352,142265.74603,17656.5,62.531483737491484,187513.95538200001,0.08861615300430975,11.9631806555118,50.6,27591.709352,152543.294908,17542.0,62.65179680851611,197677.00426000002
2025-09-29 15:20:45,0.09761080412674965,12.347766722004286,51.1,27592.020685,142324.60893000002,17912.0,63.545377526131034,187828.629615,0.09761080412674965,12.298961319948818,50.9,27592.020685,152601.476344,17796.5,63.29657212407557,197989.997029
2025-09-29 15:20:50,0.0,12.124520647058214,51.2,27592.286316,142391.274157,18168.0,63.324520647058215,188151.56047300002,0.0,12.124520647058214,50.9,27592.286316,152665.244505,18051.0,63.02452064705821,198308.53082100002
2025-09-29 15:20:55,0.05042717828590723,10.387998726912942,51.2,27592.616273,142447.90614200002,18424.0,61.63842590519885,188464.522415,0.05042717828590723,11.144406401191231,50.7,27592.616273,152723.507201,18304.5,61.894833579477144,198620.623474
2025-09-29 15:21:00,0.13023790265606464,10.809745920431524,51.2,27592.939666,142502.942752,18680.0,62.13998382308759,188775.882418,0.13023790265606464,10.809745920431524,51.0,27592.939666,152781.161562,18559.5,61.93998382308759,198933.60122799998
