,cu_watts,du_watts,ru_watts,cu_joules,du_joules,ru_joules,total_watts,total_joules
2025-09-29 09:09:50,0.11154857502258474,,50.8,26121.259338,,64821.0,50.91154857502258,90942.259338
2025-09-29 09:09:55,0.3745899988648758,,50.6,26123.203738,,65074.0,50.97458999886488,91197.203738
2025-09-29 09:10:00,0.047602802128011865,,50.6,26123.566482000002,,65327.0,50.64760280212801,91450.566482
2025-09-29 09:10:05,0.11874084676145649,,50.5,26124.088204,,65579.5,50.618740846761455,91703.588204
2025-09-29 09:10:10,0.07364376892988528,,50.8,26124.393757,,65833.5,50.87364376892988,91957.893757
2025-09-29 09:10:15,0.04426258390451896,,50.6,26124.638167999998,,66086.5,50.64426258390452,92211.138168
2025-09-29 09:10:20,0.050622400890788136,,50.6,26124.995362999998,,66339.5,50.65062240089079,92464.495363
2025-09-29 09:10:25,0.04763670235592413,,50.6,26125.291203999997,,66592.5,50.647636702355925,92717.791204
2025-09-29 09:10:30,0.12028717165783913,,50.8,26125.641121,,66846.5,50.92028717165783,92972.141121
2025-09-29 09:10:35,0.0,,50.6,26126.037183999997,,67099.5,50.6,93225.537184
2025-09-29 09:10:40,0.11208096329363831,,50.6,26126.388463,,67352.5,50.71208096329364,93478.888463
2025-09-29 09:10:45,0.13274762454124744,,50.5,26126.817213,,67605.0,50.632747624541246,93731.817213
2025-09-29 09:10:50,0.05873228682809833,,50.8,26127.208771,,67859.0,50.85873228682809,93986.208771
2025-09-29 09:10:55,0.11921539323552698,,50.6,26127.565842,,68112.0,50.71921539323553,94239.565842
2025-09-29 09:11:00,0.08665486064863008,,50.7,26127.874159,,68365.5,50.78665486064863,94493.374159
2025-09-29 09:11:05,0.05017568627515882,,50.8,26128.198039,,68619.5,50.85017568627516,94747.698039
2025-09-29 09:11:10,0.04876040918418187,,50.7,26128.563218,,68873.0,50.748760409184186,95001.563218
2025-09-29 09:11:15,0.09424787942400746,,50.6,26128.866475,,69126.0,50.69424787942401,95254.866475
2025-09-29 09:11:20,0.0,,50.6,26129.186857,,69379.0,50.6,95508.186857
